2020-12-17 19:12:179 INFO  BasePage :29 - Launching Chrome Browser
2020-12-17 19:12:618 INFO  BasePage :29 - Launching Chrome Browser
2020-12-17 19:12:121 INFO  LoginPage :31 - Verify Login Panel message[[ChromeDriver: chrome on WINDOWS (1ea3aab72179c1865d49b17d5ca65c29)] -> xpath: //div[@id='logInPanelHeading']]
2020-12-17 19:12:248 INFO  LoginPage :38 - Send text to User name field[[ChromeDriver: chrome on WINDOWS (1ea3aab72179c1865d49b17d5ca65c29)] -> xpath: //input[@id='txtUsername']]
2020-12-17 19:12:441 INFO  LoginPage :45 - Send text to password field [[ChromeDriver: chrome on WINDOWS (1ea3aab72179c1865d49b17d5ca65c29)] -> xpath: //input[@id='txtPassword']]
2020-12-17 19:12:601 INFO  LoginPage :53 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (1ea3aab72179c1865d49b17d5ca65c29)] -> xpath: //input[@id='btnLogin']]
2020-12-17 20:12:744 INFO  BasePage :29 - Launching Chrome Browser
2020-12-17 20:12:364 INFO  LoginPage :31 - Verify Login Panel message[[ChromeDriver: chrome on WINDOWS (638b710ebc9fc1568a97af9c78e7090b)] -> xpath: //div[@id='logInPanelHeading']]
2020-12-17 20:12:836 INFO  BasePage :29 - Launching Chrome Browser
2020-12-17 20:12:425 INFO  LoginPage :31 - Verify Login Panel message[[ChromeDriver: chrome on WINDOWS (1df4cbf8f7a95b6db9ef8ba4b21ae3bc)] -> xpath: //div[@id='logInPanelHeading']]
2020-12-17 20:12:12 INFO  BasePage :29 - Launching Chrome Browser
2020-12-17 20:12:572 INFO  LoginPage :31 - Verify Login Panel message[[ChromeDriver: chrome on WINDOWS (da65fe0c1c8fe821c5cdd5a418a46d9d)] -> xpath: //div[@id='logInPanelHeading']]
2020-12-17 20:12:332 INFO  BasePage :29 - Launching Chrome Browser
2020-12-17 20:12:912 INFO  LoginPage :31 - Verify Login Panel message[[ChromeDriver: chrome on WINDOWS (02e53d17a68403dabd82037f53075461)] -> xpath: //div[@id='logInPanelHeading']]
2020-12-17 20:12:08 INFO  LoginPage :38 - Send text to User name field[[ChromeDriver: chrome on WINDOWS (02e53d17a68403dabd82037f53075461)] -> xpath: //input[@id='txtUsername']]
